Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,source,library
prerank,regulation of cytokine production (GO:0001817),-0.21528544221314644,-0.7729315584390893,0.92,1.0,1.0,43/132,37.89%,CCR7;CD28;RGCC;LGR4;TXK;TMIGD2;IRF8;HILPDA;TNFSF4;DTX4;ICOSLG;TRAF3;C1QTNF3;ITK;HHLA2;KAT2A;PLD4;CD47;TRIM56;TRIM32;RPS6KA5;PIK3CD;ATP2B1;LEP;POLA1;FOXP1;HDAC9;CCR2;BTNL3;LRRC19;LTF;ERMAP;CRTAM;CD276;AFAP1L2;N4BP1;IGF2BP3;GLMN;MAPK14;PTPRC;IL6;ADRA2A;PIK3CG,GOBP,GO_Biological_Process_2021
prerank,regulation of lymphocyte activation (GO:0051249),-0.29483418665338623,-0.7750142885793185,0.7666666666666667,1.0,1.0,3/15,12.92%,CD19;PAG1;KAT2A,GOBP,GO_Biological_Process_2021
prerank,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460),-0.2725313979552363,-0.7752579097303592,0.8152173913043478,1.0,1.0,2/20,4.55%,BACH2;MSH2,GOBP,GO_Biological_Process_2021
prerank,negative regulation of myeloid leukocyte differentiation (GO:0002762),-0.26808565444980637,-0.7798585080934877,0.8387096774193549,1.0,1.0,7/25,23.80%,MYC;LRRC17;GPR55;CDK6;ZNF675;TLR4;HOXA7,GOBP,GO_Biological_Process_2021
prerank,positive regulation of myeloid cell differentiation (GO:0045639),-0.24194457835712363,-0.782175178085004,0.8229166666666666,1.0,1.0,24/34,61.23%,ETS1;TAL1;ZNF16;ABCB10;MED1;MTURN;FAXDC2;HIF1A;BRD1;STAT5B;MAPK14;NCKAP1L;ARNT;ACVR2A;PITHD1;FES;FAM210B;ACVR1B;STAT3;CSF3;PRKDC;FOXO3;HSPA1A;SCIN,GOBP,GO_Biological_Process_2021
prerank,regulation of monocyte differentiation (GO:0045655),-0.3084111993804373,-0.7854936209415248,0.75,1.0,1.0,4/15,26.17%,MYC;CDK6;HOXA7;FOXP1,GOBP,GO_Biological_Process_2021
prerank,leukocyte adhesion to vascular endothelial cell (GO:0061756),-0.2814540974323939,-0.7891263219133846,0.7717391304347826,1.0,1.0,2/18,1.50%,ADD2;PODXL2,GOBP,GO_Biological_Process_2021
prerank,positive regulation of lymphocyte proliferation (GO:0050671),-0.23277884817785094,-0.793151793220921,0.82,1.0,1.0,9/70,9.37%,CD28;IL6ST;TNFRSF13C;IL23R;IL23A;CD40LG;CD40;BCL2;TNFSF4,GOBP,GO_Biological_Process_2021
prerank,regulation of chemokine (C-X-C motif) ligand 2 production (GO:2000341),-0.3218707130194192,-0.8033667625030869,0.797752808988764,1.0,1.0,6/12,42.35%,TLR4;FOXP1;F2RL1;TIRAP;MBP;MAP2K5,GOBP,GO_Biological_Process_2021
prerank,leukocyte cell-cell adhesion (GO:0007159),-0.26091528841003586,-0.806263991928559,0.7444444444444445,1.0,1.0,2/24,3.35%,NT5E;CD40LG,GOBP,GO_Biological_Process_2021
prerank,mitotic cytokinetic process (GO:1902410),-0.2550211186884202,-0.7276561138885611,0.7865168539325843,1.0,1.0,4/20,23.19%,CHMP7;VPS4B;PDCD6IP;KIF20A,GOBP,GO_Biological_Process_2021
prerank,negative regulation of cytokine production (GO:0001818),-0.19673417821645572,-0.7288515324017631,0.94,1.0,1.0,14/166,6.35%,CCR7;LEF1;FOXJ1;RGCC;DLL1;CD200;IL23R;TRIB2;LGR4;IL23A;CD200R1;RNF216;ABCD2;PDCD4,GOBP,GO_Biological_Process_2021
prerank,positive regulation of interleukin-5 production (GO:0032754),-0.37067951414774725,-0.7339253172178265,0.821917808219178,1.0,1.0,1/5,28.67%,PDE4D,GOBP,GO_Biological_Process_2021
prerank,positive regulation of response to cytokine stimulus (GO:0060760),-0.28031599550644826,-0.7412196546277913,0.8901098901098901,1.0,1.0,4/14,29.73%,TRIM44;DHX9;MAVS;LRRC70,GOBP,GO_Biological_Process_2021
prerank,positive regulation of dendritic spine morphogenesis (GO:0061003),-0.31693214260233493,-0.7428536322332201,0.8837209302325582,1.0,1.0,3/10,16.44%,BHLHB9;CUX2;CAPRIN1,GOBP,GO_Biological_Process_2021
prerank,regulation of type 2 immune response (GO:0002828),-0.34495976744819545,-0.7439120765318913,0.8260869565217391,1.0,1.0,2/6,27.44%,TNFSF4;CCR2,GOBP,GO_Biological_Process_2021
prerank,positive regulation of chemokine (C-X-C motif) ligand 2 production (GO:2000343),-0.354216968410396,-0.7458276072385361,0.8421052631578947,1.0,1.0,3/6,41.54%,TLR4;TIRAP;MBP,GOBP,GO_Biological_Process_2021
prerank,negative regulation of macrophage cytokine production (GO:0010936),-0.3628574856552894,-0.7496024702249608,0.75,1.0,1.0,1/5,6.79%,TGFB3,GOBP,GO_Biological_Process_2021
prerank,myeloid leukocyte differentiation (GO:0002573),-0.22164856247142617,-0.7547121361000478,0.86,1.0,1.0,7/69,9.72%,CCR7;LEF1;CAMK4;TGFBR2;KIT;PARP1;FARP2,GOBP,GO_Biological_Process_2021
prerank,regulation of innate immune response (GO:0045088),-0.21923934968747327,-0.7579696977645303,0.9090909090909091,1.0,1.0,27/61,43.21%,BIRC3;APPL1;DHX9;POLR3B;ABCE1;SAMHD1;CD1D;POLR3D;IFNAR2;POLR3C;POLR3G;XIAP;POLR3F;PTPN1;TLR8;BIRC2;IFNK;PTPN11;N4BP1;NLRC3;TIRAP;RNASEL;FPR2;RIOK3;TREM2;CACTIN;APPL2,GOBP,GO_Biological_Process_2021
prerank,"antigen processing and presentation, endogenous lipid antigen via MHC class Ib (GO:0048006)",-0.383536859821221,-0.7579749823153721,0.7857142857142857,1.0,1.0,1/5,13.51%,CD1D,GOBP,GO_Biological_Process_2021
prerank,"antigen processing and presentation, exogenous lipid antigen via MHC class Ib (GO:0048007)",-0.383536859821221,-0.7579749823153721,0.7857142857142857,1.0,1.0,1/5,13.51%,CD1D,GOBP,GO_Biological_Process_2021
prerank,antigen processing and presentation of lipid antigen via MHC class Ib (GO:0048003),-0.383536859821221,-0.7579749823153721,0.7857142857142857,1.0,1.0,1/5,13.51%,CD1D,GOBP,GO_Biological_Process_2021
prerank,negative regulation of interleukin-6 production (GO:0032715),-0.31911304389125283,-1.0008267812367355,0.48936170212765956,1.0,1.0,5/27,12.40%,FOXJ1;CD200;CD200R1;C1QTNF3;SLAMF1,GOBP,GO_Biological_Process_2021
prerank,mitotic cytokinesis (GO:0000281),-0.30801792482641766,-1.0041557959274001,0.47474747474747475,1.0,1.0,15/47,23.19%,SNX9;ANK3;SPTBN1;EFHC2;RACGAP1;RASA1;STAMBP;SON;TTC19;KIF23;SNX18;PDCD6IP;SPAST;EFHC1;KIF20A,GOBP,GO_Biological_Process_2021
prerank,antiviral innate immune response (GO:0140374),-0.3660025875033458,-1.004383799721786,0.47126436781609193,1.0,1.0,2/14,3.07%,AKAP1;NLRP1,GOBP,GO_Biological_Process_2021
prerank,regulation of leukocyte activation (GO:0002694),-0.37677221642662984,-1.0088456360313842,0.4782608695652174,1.0,1.0,6/14,40.08%,CD200;MFHAS1;MYO18A;SHPK;PLA2G10;PJA2,GOBP,GO_Biological_Process_2021
prerank,regulation of interleukin-13 production (GO:0032656),-0.37387743915213834,-1.0114211284764842,0.47674418604651164,1.0,1.0,2/15,9.37%,LEF1;TNFSF4,GOBP,GO_Biological_Process_2021
prerank,positive regulation of interleukin-10 production (GO:0032733),-0.3192019395117829,-1.0118094810104694,0.4639175257731959,1.0,1.0,12/31,30.45%,CD28;IL23A;CD40LG;TNFSF4;CD34;PIBF1;SYK;TLR4;HSPD1;F2RL1;IRF4;CD46,GOBP,GO_Biological_Process_2021
prerank,mature B cell differentiation involved in immune response (GO:0002313),-0.4281248190184349,-1.014987770800762,0.5357142857142857,1.0,1.0,6/12,26.30%,DLL1;POU2AF1;DOCK10;LFNG;DOCK11;NOTCH2,GOBP,GO_Biological_Process_2021
prerank,regulation of dendritic spine morphogenesis (GO:0061001),-0.330862615842067,-1.0173750343839443,0.4895833333333333,1.0,1.0,19/31,45.07%,EFNA1;EPHA4;LZTS3;ZDHHC15;ABI2;BHLHB9;CUX2;CAPRIN1;ARHGAP44;PDLIM5;SHANK3;TANC2;DHX36;CDK5R1;CAPRIN2;SIPA1L1;NGEF;LRP8;LRRK2,GOBP,GO_Biological_Process_2021
prerank,positive regulation of adaptive immune response (GO:0002821),-0.4528962540404578,-1.0323000219185259,0.3974358974358974,1.0,1.0,2/8,7.68%,IL6ST;EIF2AK4,GOBP,GO_Biological_Process_2021
prerank,regulation of chemokine-mediated signaling pathway (GO:0070099),-0.4530784022806419,-1.0352102742446452,0.44594594594594594,1.0,1.0,4/8,33.43%,ROBO1;EDN1;HIF1A;SH2B3,GOBP,GO_Biological_Process_2021
prerank,regulation of immunoglobulin mediated immune response (GO:0002889),-0.5130544777634756,-1.035976006501951,0.46835443037974683,1.0,1.0,2/5,20.49%,TNFSF4;CD226,GOBP,GO_Biological_Process_2021
prerank,neutrophil extravasation (GO:0072672),-0.33991441255511556,-0.6879647194853221,0.8933333333333333,1.0,1.0,2/5,37.89%,PIK3CD;PIK3CG,GOBP,GO_Biological_Process_2021
prerank,positive regulation of interleukin-17 production (GO:0032740),-0.2546921333948918,-0.6990493471545561,0.9139784946236559,1.0,1.0,3/21,10.14%,IL23R;IL23A;LY9,GOBP,GO_Biological_Process_2021
prerank,regulation of interleukin-17 production (GO:0032660),-0.23312677395039638,-0.6994453109669323,0.9072164948453608,1.0,1.0,4/29,10.14%,IL23R;IL23A;TNFSF4;LY9,GOBP,GO_Biological_Process_2021
prerank,negative regulation of mast cell activation (GO:0033004),-0.3260863855015452,-0.7056751117340619,0.85,1.0,1.0,3/6,36.79%,FER;CD84;ENPP3,GOBP,GO_Biological_Process_2021
prerank,regulation of mast cell activation (GO:0033003),-0.3075943863512315,-0.7094523479212759,0.8674698795180723,1.0,1.0,7/8,61.26%,CD226;HAVCR1;CD84;LYN;CD300LF;TSLP;PLSCR1,GOBP,GO_Biological_Process_2021
prerank,positive regulation of cytokine production (GO:0001819),-0.19428063105109092,-0.7103711772255327,0.99,1.0,1.0,97/301,37.89%,CCR7;CD28;RGCC;IL6ST;CD200;IL23R;IL23A;POU2AF1;CD40LG;TXK;CD40;TMIGD2;MALT1;SPTBN1;HILPDA;EIF2AK3;IL12RB2;APPL1;DHX9;TNFSF4;POLR3B;CD34;LY9;CTNNB1;POLR3E;C1QTNF3;FLT4;POLR3H;ITK;TMED10;HHLA2;KAT2A;SETD4;TLR7;POLR3D;PIBF1;SORL1;G3BP1;IL16;RASGRP1;POLR3C;LACC1;CYP1B1;MAVS;CD226;TRAF6;SYK;PIK3CD;POLR3G;TLR4;XRCC5;TLR1;EP300;TLR5;CD80;POLR3F;LEP;FOXP1;HSPD1;PDE4B;AIRE;CCR2;F2RL1;IL6R;IRF4;PLCB1;MAP3K7;PDE4D;NLRP9;TLR8;CD46;HPSE;POLR3A;MMP8;RORA;NFKB1;CRTAM;HIF1A;PTPN11;PRKCQ;POLR1C;CD276;BRCA1;AFAP1L2;APP;GLMN;ADAM17;MAPK14;TIRAP;PTPRC;IL6;RFTN1;ROCK2;DHX33;DHX36;ADRA2A;PIK3CG,GOBP,GO_Biological_Process_2021
prerank,positive regulation of immune effector process (GO:0002699),-0.23469653698878262,-0.7103935053039724,0.8367346938775511,1.0,1.0,11/29,37.17%,IL23R;IL23A;MYB;TNFSF4;MYO18A;USP17L2;CCR2;CD46;ANKRD17;PTPRJ;PTPRC,GOBP,GO_Biological_Process_2021
prerank,regulation of lymphocyte proliferation (GO:0050670),-0.26797484392370463,-0.7168216791877914,0.8222222222222222,1.0,1.0,3/17,15.38%,CD22;TNFSF8;AHR,GOBP,GO_Biological_Process_2021
