Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,source,library
prerank,Fanconi anemia pathway,-0.4375807476312161,-1.4039047231162864,0.07216494845360824,0.5872964064115822,1.0,30/47,42.92%,FANCF;EME2;ERCC4;FAN1;USP1;FANCM;RPA3;FANCD2;ATR;REV1;PMS2;MLH1;REV3L;PALB2;POLI;EME1;FANCB;RPA1;FANCE;HES1;WDR48;RAD51C;POLH;BRCA1;RPA4;BLM;RPA2;RMI1;POLK;BRCA2,KEGG,KEGG_2021_Human
prerank,Circadian rhythm,-0.4721177886071673,-1.3881038522200586,0.053763440860215055,0.6328058898185579,1.0,11/29,20.51%,NPAS2;RORC;BHLHE41;PRKAB2;BTRC;PER2;CLOCK;NR1D1;FBXW11;CREB1;FBXL3,KEGG,KEGG_2021_Human
prerank,"Valine, leucine and isoleucine degradation",-0.43739008480534,-1.3880136022720115,0.050505050505050504,0.5800720656670114,1.0,19/44,26.78%,MCCC1;BCKDHB;ALDH3A2;ALDH7A1;ACADSB;AACS;MCCC2;HIBADH;DBT;OXCT1;DLD;HIBCH;ABAT;ACADM;ALDH9A1;HADHA;ALDH6A1;PCCB;HMGCS1,KEGG,KEGG_2021_Human
prerank,Propanoate metabolism,-0.4308580228637427,-1.3726449766372288,0.04040404040404041,0.6289426059979317,1.0,21/33,42.96%,LDHB;BCKDHB;SUCLA2;DBT;ACACB;DLD;SUCLG2;HIBCH;ABAT;MLYCD;HADHA;LDHAL6A;ALDH6A1;PCCB;ACSS1;ACSS2;ACACA;PCCA;ACOX3;ACOX1;ACAT2,KEGG,KEGG_2021_Human
prerank,Inositol phosphate metabolism,-0.4047913221090557,-1.371595804327484,0.04,0.5913031836312602,1.0,38/71,38.23%,PLCG1;SYNJ2;PIK3C2B;ITPKB;OCRL;PIP5K1B;MTMR1;MTMR4;PIK3CB;INPP5F;PIK3C2A;PIK3CA;INPP5B;INPP4B;PI4K2B;PIP5KL1;PIKFYVE;MTM1;PI4KA;PLCB4;PLCE1;PIK3CD;PIP4K2B;ALDH6A1;IPMK;PLCH1;PIK3C3;PLCB1;MTMR6;SYNJ1;FIG4;IMPA1;ITPKA;SACM1L;MTMR7;PIK3CG;MINPP1;MTMR2,KEGG,KEGG_2021_Human
prerank,Selenocompound metabolism,-0.4971418713224312,-1.3648299815608498,0.09302325581395349,0.5898461737331955,1.0,7/14,28.29%,TXNRD3;MARS2;MTR;SEPHS1;SEPSECS;TXNRD1;PSTK,KEGG,KEGG_2021_Human
prerank,Phosphatidylinositol signaling system,-0.38430280872943096,-1.3580332086598188,0.04,0.5960081114270941,1.0,43/88,34.99%,PRKCA;DGKA;PLCG1;SYNJ2;PIK3C2B;ITPKB;OCRL;PIP5K1B;MTMR1;MTMR4;PIK3CB;INPP5F;PIK3C2A;PIK3CA;DGKE;INPP5B;DGKD;INPP4B;PI4K2B;PPIP5K2;PIKFYVE;MTM1;ITPR1;PI4KA;PLCB4;PLCE1;PIK3CD;DGKG;PIP4K2B;IPMK;DGKH;PIK3C3;ITPR2;PLCB1;MTMR6;SYNJ1;CALML6;CDS1;ITPR3;CDS2;IMPA1;ITPKA;SACM1L,KEGG,KEGG_2021_Human
prerank,Nicotinate and nicotinamide metabolism,-0.4255607462104024,-1.3482156760976625,0.0625,0.6239430622300627,1.0,15/34,31.83%,NT5E;NUDT12;NMNAT3;ENPP1;SIRT4;SIRT5;NMRK1;NNT;NT5C1A;ASPDH;NT5C1B;NADK2;NMNAT1;CD38;SIRT3,KEGG,KEGG_2021_Human
prerank,RNA degradation,-0.3936628979815566,-1.3461326517057077,0.03,0.6001396788463748,1.0,31/70,29.17%,PAN2;LSM8;XRN2;EXOSC2;WDR61;DIS3L;TTC37;ZCCHC7;EXOSC8;DCP1A;CNOT7;CNOT6;CNOT2;CNOT1;DIS3;PNPT1;PFKM;EXOSC7;CNOT10;HSPA9;DDX6;LSM5;EXOSC3;PAN3;BTG2;DCP2;PABPC3;EDC3;HSPD1;CNOT8;CNOT4,KEGG,KEGG_2021_Human
prerank,RNA transport,-0.36006460946302465,-1.3243650520956076,0.02,0.7000676944429326,1.0,81/148,43.60%,NDC1;GEMIN4;FXR1;EIF3E;CLNS1A;NMD3;GEMIN5;NUP37;DDX20;NCBP2;NUP88;MAGOHB;SEH1L;NUP54;NUP43;NUP35;TPR;NCBP1;TGS1;TRNT1;NUP107;RANBP2;NXF5;NUP205;XPOT;THOC3;NUP188;UPF2;NUP93;RPP40;NUP160;PHAX;EIF4G2;THOC1;NUP210;PRMT5;CYFIP2;NUP133;GEMIN2;EIF2B3;NUP155;PABPC3;EIF2B1;EIF5;EIF2B5;EIF3A;RPP30;GEMIN8;EIF4EBP3;SNUPN;GEMIN6;EIF4A2;XPO1;GLE1;DDX19A;THOC2;RPP14;POP1;NUP98;XPO5;EIF2S1;EIF4G1;PNN;ELAC2;POP5;EIF4B;EIF3J;RAE1;PABPC4;SENP2;NUP85;EIF4EBP2;SUMO4;THOC5;NUP50;EIF3H;NUP153;EIF3B;RPP38;STRAP;KPNB1,KEGG,KEGG_2021_Human
prerank,DNA replication,-0.4018772337524251,-1.3192843779175338,0.061224489795918366,0.7041607419855223,1.0,26/36,50.04%,PRIM1;RPA3;MCM3;LIG1;RNASEH2B;RFC3;POLD3;DNA2;POLE2;RFC1;POLA1;RPA1;POLE3;RFC5;RPA4;RPA2;RNASEH1;POLE;RFC4;POLA2;MCM2;POLD2;PRIM2;SSBP1;MCM7;POLD1,KEGG,KEGG_2021_Human
prerank,"Alanine, aspartate and glutamate metabolism",-0.42688005064930734,-1.3032724328716718,0.07368421052631578,0.7823333702664106,1.0,17/29,41.44%,ALDH5A1;RIMKLB;PPAT;CAD;GPT;ADSL;GLS2;ABAT;GOT1;GPT2;GFPT2;NAT8L;GLUD2;GFPT1;CPS1;GLS;NIT2,KEGG,KEGG_2021_Human
prerank,Citrate cycle (TCA cycle),-0.42667291733053675,-1.302594380149517,0.09278350515463918,0.7494770612014666,1.0,18/28,46.43%,SUCLA2;DLST;DLD;SUCLG2;DLAT;CS;PDHA1;SDHA;MDH1;ACLY;PC;IDH3A;ACO2;FH;ACO1;IDH1;PDHB;SDHD,KEGG,KEGG_2021_Human
prerank,Glycosaminoglycan degradation,0.30807269130918535,1.298665313069669,0.0,0.33961949265687585,0.45,18/18,69.23%,GUSB;NAGLU;IDUA;HEXB;GALNS;HYAL2;IDS;HPSE2;HEXA;GLB1;ARSB;SGSH;HGSNAT;HYAL4;GNS;HYAL1;HYAL3;HPSE,KEGG,KEGG_2021_Human
prerank,Lysine degradation,-0.37472657442064017,-1.2966182560453388,0.10416666666666667,0.7545833145991637,1.0,33/54,47.31%,HYKK;ALDH3A2;ALDH7A1;SETD7;SETMAR;DLST;DLD;SUV39H2;SETDB2;ALDH9A1;NSD1;SMYD2;HADHA;SETD2;EHMT1;KMT2C;KMT2A;ASH1L;SETD1B;HADH;KMT2D;DHTKD1;CAMKMT;SMYD3;SETDB1;MECOM;GCDH;PHYKPL;ACAT2;EZH1;ALDH1B1;KMT2E;PRDM2,KEGG,KEGG_2021_Human
prerank,Hematopoietic cell lineage,-0.36969011610361,-1.2898110773288005,0.04,0.765284330834195,1.0,19/92,16.79%,CR2;ITGA6;MS4A1;IL7R;CD22;GP5;DNTT;CD19;CD3G;FCER2;KIT;IL4R;CD34;CD59;CD24;CD1D;CD5;ITGA2;ITGA4,KEGG,KEGG_2021_Human
prerank,Vitamin digestion and absorption,-0.4695177241461929,-1.2865878852345145,0.13793103448275862,0.7513314374353671,1.0,8/16,28.41%,CUBN;MMACHC;SLC46A1;SLC19A2;SLC5A6;SLC23A1;RBP2;BTD,KEGG,KEGG_2021_Human
prerank,RNA polymerase,-0.41613862071036595,-1.285847654290634,0.10989010989010989,0.7279912596452152,1.0,14/29,34.00%,POLR1B;POLR1E;POLR3B;POLR3E;POLR3H;POLR3D;POLR2D;POLR3C;POLR3G;POLR3F;POLR1A;POLR3A;POLR2C;POLR1C,KEGG,KEGG_2021_Human
prerank,Vitamin B6 metabolism,-0.6047206661635312,-1.284553185301221,0.11688311688311688,0.7117313474280899,1.0,2/6,12.32%,PNPO;PHOSPHO2,KEGG,KEGG_2021_Human
prerank,Purine metabolism,-0.36475215244129355,-1.2800644495461593,0.01,0.7121135876791255,1.0,44/114,30.89%,NT5E;PDE9A;AK5;ADPRM;PAICS;PFAS;PDE7A;ENPP1;PPAT;PDE3B;AMPD3;PDE7B;ADCY3;IMPDH2;ADSL;PDE5A;DCK;ADK;PDE6C;PDE6B;PGM2;PDE8A;FHIT;GART;AK3;ENTPD4;NUDT5;ADCY7;AK9;GMPS;PDE8B;NT5C1A;NPR2;PDE3A;PDE4B;ENTPD6;ENTPD1;PDE4D;ATIC;RRM1;RRM2B;NT5C1B;ADCY6;ENTPD5,KEGG,KEGG_2021_Human
prerank,N-Glycan biosynthesis,-0.3841579774500085,-1.2790670811105793,0.12371134020618557,0.6925402506864459,1.0,15/48,18.41%,MAN1C1;MGAT5;STT3B;MGAT4A;ALG10;ST6GAL1;MAN2A1;MGAT3;ALG10B;FUT8;RPN2;ALG6;ALG9;ALG13;ALG11,KEGG,KEGG_2021_Human
prerank,Porphyrin and chlorophyll metabolism,-0.40428239693050694,-1.2734839811661904,0.1836734693877551,0.7014693209238193,1.0,12/26,36.98%,EARS2;UGT2B11;CPOX;UGT2B28;FXN;COX10;COX15;CP;ALAD;FECH;MMAB;PPOX,KEGG,KEGG_2021_Human
prerank,Primary immunodeficiency,-0.3839842269692647,-1.2619801825847539,0.13402061855670103,0.7465609050271876,1.0,14/35,28.23%,BLNK;IL7R;TNFRSF13C;CD19;ICOS;CD40LG;CD40;CD79A;CIITA;RFX5;CD8B;BTK;AIRE;DCLRE1C,KEGG,KEGG_2021_Human
prerank,Rheumatoid arthritis,0.20208185214341648,1.257627048600674,0.0,0.389797507788162,0.56,19/83,11.35%,CCL3;CCL5;ATP6V0C;IFNG;TGFB1;ATP6AP1;JUN;ITGB2;CXCL2;HLA-DRA;TCIRG1;ATP6V1F;HLA-DMA;MMP1;HLA-DQB1;TNFSF13B;ATP6V1G2;CSF1;IL1A,KEGG,KEGG_2021_Human
